Date,Close/Last,Open,High,Low
08/03/2022,12668.16,12433.87,12699.64,12425.21
08/02/2022,12348.76,12479.78,12503.34,12260.48
08/01/2022,12368.98,12317.96,12499.72,12271.98
07/29/2022,12390.69,12239.69,12426.26,12181.13
07/28/2022,12162.59,12036.48,12179.09,11886.67
07/27/2022,12032.42,11756.19,12081.73,11718.38
07/26/2022,11562.57,11701.53,11711.31,11533.37
07/25/2022,11782.67,11837.96,11855.11,11707.53
07/22/2022,11834.11,12025.37,12093.02,11767.19
07/21/2022,12059.61,11914.15,12060.59,11812.72
07/20/2022,11897.65,11726.09,11939.96,11703.36
07/19/2022,11713.15,11515.00,11721.22,11448.97
07/18/2022,11360.05,11561.64,11629.03,11322.84
07/15/2022,11452.42,11379.36,11454.69,11295.33
07/14/2022,11251.19,11151.21,11279.97,11005.93
07/13/2022,11247.58,11056.55,11325.67,11031.27
07/12/2022,11264.73,11420.89,11483.17,11207.08
07/11/2022,11372.60,11524.49,11541.10,11348.06
07/08/2022,11635.31,11503.61,11689.70,11479.77
07/07/2022,11621.35,11422.60,11644.47,11412.88
07/06/2022,11361.85,11337.90,11443.15,11250.32
07/05/2022,11322.24,10964.18,11323.89,10911.45
07/01/2022,11127.85,11006.83,11132.55,10922.71
06/30/2022,11028.74,11048.25,11160.92,10850.01
06/29/2022,11177.89,11160.22,11226.33,11072.19
06/28/2022,11181.54,11542.24,11635.85,11177.68
06/27/2022,11524.55,11661.02,11677.49,11487.07
06/24/2022,11607.62,11351.31,11613.23,11337.78
06/23/2022,11232.19,11137.68,11260.27,11046.28
06/22/2022,11053.08,10941.95,11216.77,10938.06
06/21/2022,11069.30,10974.05,11164.99,10974.05
06/17/2022,10798.35,10697.55,10884.71,10638.72
06/16/2022,10646.10,10806.02,10831.07,10565.14
06/15/2022,11099.15,10968.40,11244.26,10866.39
06/14/2022,10828.35,10897.43,10926.81,10733.04
06/13/2022,10809.23,10986.85,11071.48,10775.14
06/10/2022,11340.02,11543.88,11569.15,11328.27
06/09/2022,11754.23,12016.47,12115.06,11751.98
06/08/2022,12086.27,12147.28,12235.78,12052.70
06/07/2022,12175.23,11925.81,12194.86,11888.61
06/06/2022,12061.37,12200.33,12245.40,12004.20
06/03/2022,12012.73,12097.12,12167.44,11966.62
06/02/2022,12316.90,11945.57,12320.12,11901.45
06/01/2022,11994.46,12176.89,12237.94,11901.43
05/31/2022,12081.39,12137.54,12190.08,11942.50
05/27/2022,12131.13,11869.69,12131.66,11856.82
05/26/2022,11740.65,11409.84,11796.97,11406.16
05/25/2022,11434.74,11225.03,11511.90,11211.85
05/24/2022,11264.45,11326.44,11351.61,11092.48
05/23/2022,11535.27,11395.47,11552.07,11304.56
05/20/2022,11354.62,11542.67,11552.21,11035.69
05/19/2022,11388.50,11364.40,11562.82,11313.31
