Date,Close/Last,Volume,Open,High,Low
11/18/2021,$149.8385,35628220,$148.2415,$150.5805,$147.8845
11/17/2021,$148.047,19599500,$148.0275,$148.5595,$147.24
11/16/2021,$147.876,18904000,$148.1495,$148.7625,$147.3125
11/15/2021,$148.452,23507040,$148.9005,$149.5495,$147.575
11/12/2021,$148.678,22360000,$146.6155,$148.85,$145.411
11/11/2021,$145.7665,16517480,$146.4895,$147.5355,$145.6005
11/10/2021,$145.8935,29969800,$147.50,$148.07,$144.5375
11/09/2021,$148.9185,19529740,$149.233,$149.8345,$147.2448
11/08/2021,$149.031,23052500,$149.825,$150.6148,$148.4305
11/05/2021,$148.852,38354740,$149.1695,$150.3275,$148.197
11/04/2021,$148.2675,38411260,$147.1245,$149.7335,$146.308
11/03/2021,$146.598,27493240,$145.9005,$146.669,$144.591
11/02/2021,$145.4325,33482240,$144.5795,$146.609,$144.3355
11/01/2021,$143.497,46923240,$148.046,$148.046,$143.2255
10/29/2021,$148.046,43320300,$145.078,$148.242,$144.6495
10/28/2021,$145.849,36206380,$147.1345,$147.158,$144.6267
10/27/2021,$146.2175,85781400,$139.405,$148.65,$139.405
10/26/2021,$139.3085,49235020,$139.2635,$140.0829,$138.3045
10/25/2021,$137.447,34412260,$137.55,$138.00,$135.424
10/22/2021,$137.5665,50588960,$139.15,$140.5828,$136.056
10/21/2021,$141.886,26292260,$141.769,$142.156,$140.50
10/20/2021,$141.769,23288060,$143.338,$143.5461,$141.3765
10/19/2021,$143.237,20163000,$143.3875,$143.6625,$142.60
10/18/2021,$142.778,20396160,$141.0765,$142.796,$141.0695
10/15/2021,$141.368,30274440,$141.6145,$141.718,$140.755
10/14/2021,$141.151,31927940,$139.4738,$141.3373,$138.825
10/13/2021,$137.582,19662320,$137.4025,$138.00,$136.5188
10/12/2021,$136.449,36332240,$139.48,$139.507,$135.76
10/11/2021,$138.914,17953620,$139.292,$140.712,$138.859
10/08/2021,$139.7855,26525840,$139.577,$140.331,$139.2175
10/07/2021,$139.225,25110140,$138.892,$140.042,$138.6512
10/06/2021,$137.565,24364280,$134.75,$137.75,$134.55
10/05/2021,$136.023,32403260,$134.041,$137.2245,$134.041
10/04/2021,$133.6595,51201940,$135.9605,$135.9605,$131.05
10/01/2021,$136.543,35360180,$134.4475,$136.9105,$134.073
09/30/2021,$133.676,38028800,$134.2615,$135.5425,$133.556
09/29/2021,$134.3535,30848700,$136.98,$137.151,$133.865
09/28/2021,$135.83,45772200,$138.655,$139.0965,$135.36
09/27/2021,$141.072,21881960,$140.8043,$141.9385,$140.0675
09/24/2021,$142.215,22983900,$140.5385,$142.3303,$140.241
09/23/2021,$141.216,20951000,$140.9875,$141.6965,$140.4015
09/22/2021,$140.2835,25055560,$139.304,$140.887,$138.5515
09/21/2021,$139.033,25331900,$139.7495,$140.0115,$138.278
09/20/2021,$138.7195,46518040,$138.1615,$139.00,$136.3218
09/17/2021,$140.80,53384460,$143.0305,$143.45,$140.4698
09/16/2021,$143.61,26195420,$143.9505,$144.30,$142.4015
09/15/2021,$144.4295,27407580,$142.7715,$144.4505,$141.3475
09/14/2021,$142.5445,19673860,$142.9953,$143.363,$141.75
09/13/2021,$142.3325,22093840,$141.9495,$142.95,$141.25
09/10/2021,$140.876,36839340,$144.2125,$144.7185,$140.7378
09/09/2021,$143.541,15317100,$143.8405,$144.3105,$143.1775
09/08/2021,$143.691,18350220,$144.10,$144.40,$143.00
09/07/2021,$144.2805,20131900,$143.8345,$144.565,$143.619
09/03/2021,$143.7395,19854360,$143.0805,$144.155,$142.4005
09/02/2021,$143.287,32358140,$145.216,$145.5193,$143.1848
09/01/2021,$145.2155,21936100,$145.00,$146.2538,$144.8835
08/31/2021,$144.6975,22448760,$145.147,$145.1713,$144.281
08/30/2021,$144.5905,24434200,$144.40,$145.9705,$144.163
08/27/2021,$144.004,28780200,$141.6525,$144.5125,$141.497
08/26/2021,$141.4405,20609320,$141.75,$142.4175,$141.357
08/25/2021,$142.079,15851480,$141.625,$142.1895,$141.376
08/24/2021,$141.2615,19267220,$140.6115,$142.08,$140.3385
08/23/2021,$140.0415,28453400,$137.9695,$140.8745,$137.6075
08/20/2021,$137.4295,31193160,$136.00,$137.554,$135.25
08/19/2021,$135.68,21782540,$134.4355,$136.3525,$134.25
08/18/2021,$135.449,19258940,$136.50,$137.1043,$135.3215
08/17/2021,$136.6615,21715200,$137.75,$138.2655,$136.082
08/16/2021,$138.3095,22398360,$137.5249,$138.3625,$135.2988
08/13/2021,$137.7275,15947440,$137.25,$137.8565,$137.033
08/12/2021,$137.194,16518860,$135.9755,$137.30,$135.4255
08/11/2021,$136.279,15352000,$137.1815,$137.6823,$136.2715
08/10/2021,$136.807,19414080,$137.342,$137.7723,$136.3645
08/09/2021,$136.913,17766000,$135.9425,$137.184,$135.3392
08/06/2021,$135.7385,20488120,$136.042,$136.4725,$135.21
08/05/2021,$136.2515,17869000,$135.6805,$136.35,$134.846
08/04/2021,$135.1255,19676020,$135.3495,$135.6495,$134.487
08/03/2021,$135.63,20761880,$135.135,$135.732,$133.3195
08/02/2021,$134.8545,21634200,$135.117,$135.3365,$133.7941
07/30/2021,$134.7265,25575780,$135.035,$135.3045,$134.255
07/29/2021,$135.7775,31715720,$136.15,$136.661,$135.543
07/28/2021,$136.094,95130600,$136.312,$138.297,$135.2775
07/27/2021,$131.90,54709480,$134.2505,$134.399,$130.104
07/26/2021,$134.035,30571480,$133.3283,$134.237,$132.3015
07/23/2021,$133.015,41506420,$130.4305,$133.399,$129.8005
07/22/2021,$128.4215,14301880,$127.844,$128.483,$127.4988
07/21/2021,$127.549,20746180,$126.1335,$127.596,$126.0235
07/20/2021,$126.2095,26316440,$125.5275,$127.0432,$124.3505
07/19/2021,$124.578,27967580,$126.0895,$126.205,$123.505
07/16/2021,$126.97,20424540,$127.663,$127.8115,$126.1535
07/15/2021,$127.005,24218800,$128.649,$128.70,$126.53
07/14/2021,$128.237,23745660,$127.958,$129.3263,$127.9145
07/13/2021,$127.3415,19246940,$127.0385,$128.0575,$126.6745
07/12/2021,$126.9755,17667780,$126.178,$127.0694,$125.6108
07/09/2021,$125.5185,18631680,$125.025,$125.7345,$124.5513
07/08/2021,$125.044,23789340,$124.026,$125.5955,$124.022
07/07/2021,$126.474,24059020,$127.162,$127.284,$126.153
07/06/2021,$126.19,26403580,$125.6485,$126.428,$124.5825
07/02/2021,$125.2575,26002180,$123.15,$125.404,$123.0595
07/01/2021,$122.4445,18112820,$121.725,$122.587,$121.5315
06/30/2021,$122.0895,24473980,$121.9945,$122.257,$121.3545
06/29/2021,$122.2725,23108720,$122.6704,$123.0208,$121.6908
06/28/2021,$122.536,28525420,$122.6785,$122.7848,$121.4055
06/25/2021,$122.5085,34596380,$122.00,$122.633,$121.5652
06/24/2021,$122.50,21365140,$122.70,$123.0555,$122.30
06/23/2021,$122.127,19154160,$122.0935,$123.0955,$121.8345
06/22/2021,$122.3305,22390200,$121.75,$122.40,$121.064
06/21/2021,$121.8125,27413660,$120.5005,$122.00,$119.8985
06/18/2021,$120.111,46115200,$121.367,$121.603,$120.015
06/17/2021,$121.7435,25848880,$120.6975,$122.5225,$120.50
06/16/2021,$120.7725,26471860,$121.572,$121.886,$119.47
06/15/2021,$121.4195,21562140,$122.45,$122.7755,$121.056
06/14/2021,$122.4455,22097560,$121.613,$122.446,$120.90
06/11/2021,$121.51,21958140,$122.00,$122.086,$120.948
06/10/2021,$121.7565,25907500,$120.346,$121.80,$120.189
06/09/2021,$120.397,17941040,$120.5715,$120.644,$119.845
06/08/2021,$119.922,24239840,$120.6005,$120.976,$119.739
06/07/2021,$120.115,24119320,$119.4718,$120.2255,$119.05
06/04/2021,$119.6785,24458200,$118.4635,$119.9515,$118.1205
06/03/2021,$117.379,18695920,$117.2865,$117.8508,$116.476
